Type	Resource	Tags	MissingTags	Created
AWS::DMS::EventSubscription	DMSChangeEventSubscription-k58bhses2u0zbGT0	3,4	1,2	pipeline tool
AWS::DMS::EventSubscription	DMSTaskStateChangedNotifications	3,4	1,2	pipeline tool
AWS::IAM::Role	DMSFullLoadSuccessTriggerILGlueJobLambdaRole	3,4	1,2	pipeline tool
AWS::IAM::Role	DMSLambdaExecutionRole	3,4	1,2	pipeline tool
AWS::IAM::Role	EAPDMSExecutionRole	3,4	1,2	pipeline tool
AWS::IAM::Role	dev-ecp-ingestion-cli--installer	3,4	1,2	pipeline tool
AWS::IAM::Role	dev-ecp-ingestion-cli-dm-DMSTaskTriggerLambdaRole-1LOQ4AULALNRV	3,4	1,2	pipeline tool
AWS::IAM::Role	dms-cloudwatch-logs-role	3,4	1,2	pipeline tool
AWS::IAM::Role	dms-vpc-role	3,4	1,2	pipeline tool
AWS::Lambda::Function	DMSIngestionLambda	3,4	1,2	pipeline tool
AWS::Lambda::Function	dmstasktriggerlambda	3,4	1,2	pipeline tool
AWS::Lambda::Function	gluejobtriggerlambda	3,4	1,2	pipeline tool
AWS::Lambda::Permission	dev-ecp-ingestion-cli-glue-job-trigger-lambda-GlueJobTriggerLambdaInvokePermissions-1J3J4WLE5G5VG	3,4	1,2	pipeline tool
AWS::SNS::Topic	arn:aws:sns:us-west-2:330430790175:DMSNotifications	3,4	1,2	pipeline tool
AWS::SNS::Topic	arn:aws:sns:us-west-2:330430790175:DMSTaskStateChangeNotifications	3,4	1,2	pipeline tool
AWS::SNS::TopicPolicy	dev-ecp-ingestion-cli-de-once-per-env-setup-DMSSNSTopicPolicy-1TQMBGKGR1GKV	3,4	1,2	pipeline tool
AWS::SNS::TopicPolicy	dev-ecp-ingestion-cli-glue-job-trigger-lambda-DMSSNSTopicPolicy-18KRG6UOELZC9	3,4	1,2	pipeline tool
AWS::SSM::Parameter	/realogy/dev/eap/data-ingestion/clear-zone/bucket	3,4	1,2	pipeline tool
AWS::SSM::Parameter	/realogy/dev/eap/data-ingestion/dmsexecutionrolearn	3,4	1,2	pipeline tool
AWS::SSM::Parameter	/realogy/dev/eap/data-ingestion/dmslambdaexecutionrolearn	3,4	1,2	pipeline tool
AWS::SSM::Parameter	/realogy/dev/eap/data-ingestion/ecp-ingestion-cli/712.defa03/bucket	3,4	1,2	pipeline tool
AWS::SSM::Parameter	/realogy/dev/eap/data-ingestion/ecp-ingestion-cli/dmslambda/712.defa03/key	3,4	1,2	pipeline tool
AWS::SSM::Parameter	/realogy/dev/eap/data-ingestion/ecp-ingestion-cli/dmstasktriggerlambda/arn	3,4	1,2	pipeline tool
AWS::SSM::Parameter	/realogy/dev/eap/data-ingestion/ecp-ingestion-cli/ingestionlambdaarn	3,4	1,2	pipeline tool
AWS::SSM::Parameter	/realogy/dev/eap/data-ingestion/ecp-ingestion-cli/service-catalog/dms/lambda/sg	3,4	1,2	pipeline tool
AWS::SSM::Parameter	/realogy/dev/eap/data-ingestion/ecp-ingestion-cli/service-catalog/dms/lambda/sn/1	3,4	1,2	pipeline tool
AWS::SSM::Parameter	/realogy/dev/eap/data-ingestion/ecp-ingestion-cli/service-catalog/dms/lambda/sn/2	3,4	1,2	pipeline tool
AWS::SSM::Parameter	/realogy/dev/eap/data-ingestion/ecp-ingestion-cli/service-catalog/dms/tagoption/product-canonical-name	3,4	1,2	pipeline tool
AWS::SSM::Parameter	/realogy/dev/eap/data-ingestion/ecp-ingestion-cli/service-catalog/dms/tagoption/search-key	3,4	1,2	pipeline tool
AWS::SSM::Parameter	/realogy/dev/eap/data-ingestion/ecp-ingestion-striim/dmstasktriggerlambda/bu-ds/allowedlist	3,4	1,2	pipeline tool
AWS::SSM::Parameter	/realogy/dev/eap/data-ingestion/ecp-ingestion-striim/dmstasktriggerlambda/tasktype/allowedlist	3,4	1,2	pipeline tool
AWS::SSM::Parameter	/realogy/dev/eap/data-ingestion/ecp-ingestion-striim/gluejobtriggerlambda/datalake/accountnumber	3,4	1,2	pipeline tool
AWS::SSM::Parameter	/realogy/dev/eap/data-ingestion/ecp-ingestion-striim/template/dms/version/default	3,4	1,2	pipeline tool
AWS::SSM::Parameter	/realogy/dev/eap/datalake/kmskey	3,4	1,2	pipeline tool
AWS::ServiceCatalog::CloudFormationProduct	prod-tnz3ononj34jy	3,4	1,2	pipeline tool
AWS::ServiceCatalog::LaunchRoleConstraint	cons-n6otpneb5jiuw	3,4	1,2	pipeline tool
AWS::ServiceCatalog::Portfolio	port-khcwkpq72aiva	3,4	1,2	pipeline tool
AWS::ServiceCatalog::PortfolioPrincipalAssociation	port-khcwkpq72aiva|arn:aws:iam::330430790175:role/aws-accountadmins	3,4	1,2	pipeline tool
AWS::ServiceCatalog::PortfolioProductAssociation	port-khcwkpq72aiva|prod-tnz3ononj34jy	3,4	1,2	pipeline tool
AWS::ServiceCatalog::TagOption	tag-57f3qh7ufj4eg	3,4	1,2	pipeline tool
AWS::ServiceCatalog::TagOption	tag-oxo32wu3tb72o	3,4	1,2	pipeline tool
AWS::ServiceCatalog::TagOptionAssociation	tag-57f3qh7ufj4eg|prod-tnz3ononj34jy	3,4	1,2	pipeline tool
AWS::ServiceCatalog::TagOptionAssociation	tag-oxo32wu3tb72o|prod-tnz3ononj34jy	3,4	1,2	pipeline tool
